year,country,dispensers,u5_mr,births_per_year,takeup,effect_on_mr,life_years_per_death,births_per_dispenser_used,deaths_per_dispenser_used,deaths_averted_per_dispenser_used,years_per_dispenser_used,years,gdp_pc,benefits_usd,benefits_op
2025,kenya,18871,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4736.89123272,1952.3046,9247854.543338925,473693860.21060205
2025,uganda,17851,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,12898.911818831997,1002.3091,12928696.696112862,1289904080.9240088
2025,malawi,16220,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,14470.554918399997,602.3436,8716246.143546762,1447069962.5396252
2026,kenya,18871,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4736.89123272,1952.3046,9247854.543338925,473693860.21060205
2026,uganda,17851,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,12898.911818831997,1002.3091,12928696.696112862,1289904080.9240088
2026,malawi,16220,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,14470.554918399997,602.3436,8716246.143546762,1447069962.5396252
2027,kenya,18871,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4736.89123272,1952.3046,9247854.543338925,473693860.21060205
2027,uganda,17851,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,12898.911818831997,1002.3091,12928696.696112862,1289904080.9240088
2027,malawi,16220,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,14470.554918399997,602.3436,8716246.143546762,1447069962.5396252
2028,kenya,18871,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4736.89123272,1952.3046,9247854.543338925,473693860.21060205
2028,uganda,17851,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,12898.911818831997,1002.3091,12928696.696112862,1289904080.9240088
